Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,GANDHINAGAR,1,DOMESTIC,158,127,7356.0,117.652
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,JANNEPALLY,1,DOMESTIC,872,803,47081.0,945.481
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,KAMALAPOOR,1,DOMESTIC,479,418,22772.0,409.486
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,KHADIRABAD,1,DOMESTIC,13,0,0.0,3.38
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,LINGAPOOR,1,DOMESTIC,292,262,11514.0,192.315
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,MAHANTHAM,1,DOMESTIC,261,231,11121.0,160.568
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,SIDDIPALLI,1,DOMESTIC,198,196,13919.0,192.223
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,BESTHAPALLY,1,DOMESTIC,152,140,5705.0,89.82
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,BOINAPETA,1,DOMESTIC,375,330,24231.0,284.345
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,CHILLAPALLY,1,DOMESTIC,340,320,18205.0,274.778
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,DUBBAPALLY,1,DOMESTIC,311,276,13815.0,274.85
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,GANGAPURI,1,DOMESTIC,290,247,19424.0,212.853
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,GUNJAPADUGU,1,DOMESTIC,1193,1086,70592.0,1015.316
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,KAKARLA PALLY,1,DOMESTIC,273,247,14139.0,182.18
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,KANNALA,1,DOMESTIC,161,131,7916.0,114.87
PEDDAPALLY,MANTHANI,Manthani,MANTHANI TOWN,KOOCHIRAJPALLY,1,DOMESTIC,110,79,5305.0,69.44
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,ASHANA PALLY  ,1,DOMESTIC,160,141,7105.0,111.731
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,BHEEMUNI PALLY,1,DOMESTIC,55,52,1862.0,34.58
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,BURUGU PALLY  ,1,DOMESTIC,16,13,664.0,7.34
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,CHINNA RATHUPALLY,1,DOMESTIC,11,11,442.0,10.0
